-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 
Location: Latitude  28.7041   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS10M_MAX,WS10M_MIN
2022,1,1,3.28,3.2,1.69,0.57,287.73,55.6,56.66,6.32,0.1,0.49,19.97,5.73,4.27,49.06,99.44,2.25,0.21
2022,1,2,2.93,2.21,1.83,0.51,300.67,49.4,51.74,5.51,0.09,0.43,20.9,7.66,4.7,52.06,99.28,2.62,0.78
2022,1,3,3.21,3.1,1.67,0.55,301.24,54.59,55.96,6.2,0.1,0.51,21.65,8.29,4.64,48.06,99.09,1.94,0.76
2022,1,4,2.82,1.83,1.88,0.48,332.0,50.12,59.0,5.96,0.11,0.56,23.97,10.93,5.31,48.69,99.0,3.27,0.23
2022,1,5,0.81,0.35,0.64,0.14,359.9,16.1,53.31,2.17,0.05,0.23,14.47,10.95,6.96,75.81,98.9,5.34,0.99
2022,1,6,2.27,1.26,1.6,0.38,363.1,39.83,49.11,4.77,0.09,0.44,19.22,9.98,8.3,85.5,98.9,6.01,2.97
2022,1,7,1.46,0.59,1.16,0.25,373.4,26.18,47.62,3.2,0.06,0.3,20.51,10.82,9.09,86.31,98.87,6.05,3.39
2022,1,8,0.52,0.28,0.39,0.09,378.96,10.35,55.48,1.38,0.02,0.13,18.53,12.83,10.01,91.81,98.77,6.9,1.39
2022,1,9,1.12,0.52,0.86,0.19,366.8,21.14,56.9,2.81,0.05,0.27,18.69,9.9,8.36,86.06,98.79,4.06,1.1
2022,1,10,3.05,2.26,1.94,0.52,311.7,52.47,59.98,6.26,0.1,0.52,17.33,5.79,6.29,77.88,99.05,3.6,1.82
2022,1,11,3.28,3.22,1.62,0.55,303.55,55.88,60.24,6.55,0.1,0.5,17.62,4.05,5.62,75.62,99.07,3.22,2.12
2022,1,12,2.72,1.97,1.7,0.45,312.01,45.4,52.57,5.18,0.08,0.4,17.58,3.3,5.74,75.44,99.01,3.19,0.77
2022,1,13,2.18,1.26,1.57,0.36,328.98,37.91,53.4,4.42,0.07,0.37,17.68,6.56,6.29,73.69,99.02,1.96,0.19
2022,1,14,1.63,0.7,1.27,0.27,338.99,28.77,53.73,3.45,0.06,0.3,17.58,6.85,6.35,75.88,99.09,2.17,0.2
2022,1,15,0.92,0.38,0.73,0.15,356.62,16.04,44.77,1.79,0.03,0.16,17.97,4.65,6.1,76.06,99.23,2.64,0.69
2022,1,16,2.34,1.56,1.56,0.38,327.82,40.74,61.55,4.95,0.1,0.5,17.74,4.98,5.49,68.44,99.31,2.52,0.9
2022,1,17,2.07,0.83,1.65,0.34,337.7,36.46,59.38,4.38,0.08,0.41,17.33,5.93,5.55,69.31,99.37,2.51,0.13
2022,1,18,2.54,1.82,1.58,0.41,331.77,44.27,63.76,5.35,0.1,0.51,18.38,4.38,5.68,74.06,99.16,3.77,1.69
2022,1,19,2.35,1.31,1.66,0.38,342.3,42.23,59.46,5.02,0.09,0.49,16.51,5.95,5.8,74.0,98.89,2.3,0.7
2022,1,20,2.05,0.91,1.59,0.33,354.29,36.7,58.7,4.35,0.09,0.41,18.14,7.58,7.2,80.25,98.46,2.34,0.4
2022,1,21,2.37,1.31,1.69,0.38,353.81,40.81,53.51,4.59,0.08,0.4,20.0,8.42,7.32,79.12,98.46,3.91,0.42
2022,1,22,0.96,0.44,0.73,0.15,360.26,18.2,57.41,2.31,0.05,0.23,14.58,9.26,7.75,91.0,97.99,8.47,4.7
2022,1,23,1.36,0.53,1.1,0.21,352.5,24.89,50.88,2.74,0.05,0.23,16.63,8.66,7.08,82.0,98.27,4.31,1.18
2022,1,24,2.13,1.08,1.6,0.33,336.8,38.51,68.76,4.98,0.09,0.45,15.82,4.67,6.29,79.44,98.67,2.82,1.12
2022,1,25,1.28,0.51,1.03,0.2,339.29,24.34,65.06,3.19,0.06,0.3,15.64,4.69,6.47,84.25,98.76,3.16,1.81
2022,1,26,2.74,1.43,1.99,0.42,323.89,48.82,66.81,5.95,0.11,0.54,16.65,4.15,5.92,78.94,98.86,3.92,2.34
2022,1,27,3.96,4.23,1.72,0.6,295.8,69.03,74.23,8.25,0.15,0.72,18.64,3.79,5.19,68.56,98.97,5.02,2.56
2022,1,28,4.5,6.5,1.19,0.69,271.75,79.02,80.9,9.46,0.18,-999.0,19.74,3.15,4.58,59.5,98.98,6.02,2.42
2022,1,29,4.56,6.32,1.27,0.69,286.55,81.48,81.3,9.73,0.2,0.96,21.37,5.5,4.76,54.62,98.96,3.93,1.88
2022,1,30,4.51,5.96,1.39,0.68,295.77,80.72,81.4,9.66,0.19,0.91,22.11,5.26,5.74,64.62,98.57,6.1,2.48
2022,1,31,3.29,2.95,1.74,0.49,325.22,58.75,75.6,7.15,0.13,0.66,24.2,8.37,5.74,55.25,98.46,2.3,0.8
2022,2,1,3.13,2.34,1.89,0.46,334.2,55.09,71.59,6.62,0.12,0.6,23.28,8.66,6.1,61.62,98.43,4.07,1.09
2022,2,2,3.65,2.85,1.96,0.54,351.74,64.43,74.26,7.82,0.14,0.71,21.8,5.8,5.37,59.31,98.37,5.14,0.76
2022,2,3,1.16,0.57,0.89,0.17,363.98,22.02,67.38,2.76,0.05,0.23,17.15,7.58,6.59,76.5,97.95,6.59,0.94
2022,2,4,2.32,1.4,1.61,0.34,352.28,42.68,77.69,5.52,0.09,0.45,18.05,7.59,6.9,81.69,98.25,3.87,2.34
2022,2,5,3.79,3.41,1.96,0.55,325.3,67.81,83.29,8.45,0.16,0.79,19.54,5.87,5.68,68.0,98.67,2.58,0.58
2022,2,6,4.68,5.69,1.52,0.66,298.02,82.6,83.48,9.86,0.2,0.95,22.24,5.58,5.13,56.62,98.86,3.38,0.46
2022,2,7,4.35,4.21,1.91,0.62,326.52,78.29,80.47,9.38,0.2,0.98,24.39,5.88,5.92,60.56,98.79,3.16,0.12
2022,2,8,4.03,3.14,2.17,0.57,346.81,73.78,79.93,8.93,0.19,0.97,23.82,10.2,7.51,67.88,98.63,2.87,0.29
2022,2,9,3.17,1.83,2.11,0.45,346.3,58.09,72.8,7.03,0.15,0.77,15.73,9.73,7.57,82.56,98.84,5.45,0.38
2022,2,10,4.54,4.39,1.97,0.63,308.73,79.69,81.82,9.52,0.18,0.89,21.43,5.98,6.41,70.5,99.04,4.64,0.84
2022,2,11,5.0,6.29,1.46,0.69,285.2,87.95,89.33,10.69,0.21,-999.0,21.23,5.77,5.31,61.56,98.91,6.05,2.85
2022,2,12,5.38,7.93,1.05,0.73,284.13,95.09,94.8,11.55,0.22,-999.0,23.34,5.17,5.0,52.31,98.75,5.01,1.14
2022,2,13,5.06,6.5,1.41,0.69,302.0,90.06,89.92,10.83,0.21,1.05,24.31,7.99,5.25,49.06,98.63,3.11,0.52
2022,2,14,5.09,6.64,1.35,0.69,312.08,91.71,91.69,11.09,0.22,1.07,24.8,7.62,5.86,56.62,98.62,3.37,0.41
2022,2,15,4.91,5.84,1.62,0.66,316.29,88.43,88.71,10.57,0.2,1.0,25.51,8.31,6.41,58.88,98.63,3.04,0.3
2022,2,16,4.98,5.98,1.54,0.66,314.05,89.43,89.38,10.73,0.2,1.01,25.68,10.38,6.35,53.69,98.45,4.12,1.06
2022,2,17,5.1,5.92,1.64,0.67,308.59,90.32,90.34,10.88,0.22,1.11,25.84,10.15,6.1,54.0,98.4,3.45,0.35
2022,2,18,4.95,5.53,1.69,0.65,324.46,88.48,88.66,10.59,0.23,1.11,26.87,9.99,6.04,52.62,98.53,3.22,0.63
2022,2,19,5.07,5.76,1.65,0.66,316.23,90.27,91.02,10.88,0.22,1.09,25.14,9.06,6.16,57.5,98.68,4.46,1.55
2022,2,20,5.08,5.79,1.72,0.66,307.6,90.82,92.52,10.96,0.22,-999.0,24.63,8.53,5.62,53.75,98.19,6.33,3.22
2022,2,21,5.57,7.17,1.37,0.72,302.02,99.02,99.1,12.16,0.25,1.23,26.62,7.58,5.0,45.19,98.15,3.93,1.84
2022,2,22,5.25,5.89,1.66,0.67,327.83,95.47,95.84,11.69,0.25,1.25,27.83,9.08,6.04,50.88,98.28,8.72,3.38
2022,2,23,3.99,1.87,2.9,0.51,349.17,72.12,83.98,8.53,0.16,0.85,24.77,9.93,7.32,63.88,98.67,5.42,1.18
2022,2,24,3.94,1.94,2.78,0.5,345.29,70.12,78.07,7.98,0.15,0.76,26.01,10.69,7.57,62.44,98.87,2.79,0.69
2022,2,25,4.43,3.01,2.5,0.55,351.88,78.29,81.03,9.12,0.16,0.8,27.58,11.54,7.51,58.44,98.84,5.57,2.19
2022,2,26,4.07,2.85,2.27,0.51,368.36,74.27,86.48,8.98,0.17,0.86,24.56,11.28,7.93,67.19,98.88,8.69,2.11
2022,2,27,5.03,4.87,2.02,0.62,333.1,88.9,89.5,10.51,0.2,0.96,25.44,10.77,7.32,64.25,99.1,4.05,2.57
2022,2,28,5.98,8.05,1.18,0.73,299.81,106.44,105.95,13.12,0.26,1.29,25.24,7.58,5.86,57.0,98.97,4.1,2.38
2022,3,1,5.41,5.79,1.84,0.66,317.98,96.91,97.04,11.7,0.23,1.16,27.08,9.87,5.8,48.75,98.96,3.27,1.48
2022,3,2,5.5,5.99,1.77,0.66,327.48,98.77,98.76,11.95,0.25,1.24,27.4,12.22,6.65,51.19,98.93,2.89,0.95
2022,3,3,5.2,5.12,2.05,0.62,352.84,95.02,98.23,11.54,0.24,1.2,28.78,11.65,6.96,50.25,98.79,2.97,1.33
2022,3,4,5.24,5.14,2.0,0.62,343.23,94.84,96.07,11.4,0.23,1.17,26.4,11.43,8.06,64.81,98.92,4.88,2.29
2022,3,5,5.94,7.07,1.52,0.7,319.8,108.18,108.3,13.41,0.3,-999.0,28.08,9.73,6.84,57.06,98.78,4.67,2.84
2022,3,6,4.7,2.37,3.16,0.55,342.26,84.27,102.02,10.57,0.24,1.23,28.44,13.24,6.96,49.0,98.63,3.01,0.78
2022,3,7,5.01,4.35,2.16,0.59,351.8,91.27,100.41,11.21,0.24,1.23,30.08,14.16,6.84,47.94,98.76,3.34,1.15
2022,3,8,5.22,4.74,2.26,0.61,349.29,93.06,96.51,11.05,0.23,1.13,30.74,14.99,7.26,47.44,98.72,3.98,0.86
2022,3,9,5.35,5.1,1.97,0.62,355.27,94.68,95.0,11.27,0.22,1.1,31.76,13.07,7.14,48.0,98.6,3.71,2.42
2022,3,10,5.41,5.04,2.22,0.62,352.92,98.32,102.84,11.95,0.23,1.12,30.53,13.71,7.39,49.06,98.59,5.08,2.75
2022,3,11,6.0,6.68,1.75,0.69,343.35,109.58,109.59,13.48,0.26,-999.0,31.36,13.8,7.51,50.44,98.61,4.93,2.4
2022,3,12,6.23,7.0,1.64,0.71,342.96,113.59,113.41,14.19,0.31,1.57,32.01,12.65,6.84,44.94,98.46,4.27,1.92
2022,3,13,5.7,5.18,2.21,0.65,368.44,105.08,106.95,12.9,0.28,-999.0,34.16,16.7,7.87,40.62,98.4,5.26,0.9
2022,3,14,5.98,6.06,1.96,0.67,375.17,110.07,110.77,13.61,0.3,1.5,34.95,19.02,8.91,42.5,98.35,4.47,0.49
2022,3,15,5.8,5.56,2.05,0.65,388.04,107.65,107.95,13.23,0.32,1.64,36.59,20.05,9.4,44.06,98.11,5.26,0.16
2022,3,16,6.19,6.82,1.69,0.69,379.15,114.71,114.67,14.3,0.36,1.82,37.57,16.96,8.67,45.12,97.91,8.01,2.62
2022,3,17,5.82,5.64,2.03,0.64,396.22,107.23,108.87,13.12,0.32,1.66,36.68,17.68,8.97,45.31,97.98,4.39,1.65
2022,3,18,5.23,4.27,2.3,0.58,405.91,94.45,95.6,10.91,0.26,1.3,36.69,18.68,10.8,50.81,98.06,5.13,2.16
2022,3,19,5.63,5.11,2.11,0.62,405.91,103.78,103.95,12.47,0.3,1.49,37.66,19.2,9.95,44.88,97.85,3.77,0.94
2022,3,20,6.11,6.02,2.09,0.66,393.93,113.41,115.02,14.09,0.32,1.62,38.85,20.4,8.67,37.06,97.71,2.77,0.33
2022,3,21,5.73,4.15,2.82,0.62,392.39,104.3,107.59,12.66,0.3,1.48,37.16,21.96,8.18,36.62,97.97,3.88,0.27
2022,3,22,6.06,5.6,2.16,0.65,378.54,109.84,110.88,13.37,0.3,-999.0,36.95,18.19,7.45,37.94,98.07,6.71,2.97
2022,3,23,5.69,4.25,2.59,0.61,395.04,104.02,107.16,12.62,0.3,1.51,36.99,18.26,6.96,33.5,98.04,2.98,0.41
2022,3,24,6.1,5.45,2.24,0.65,380.15,110.29,111.03,13.47,0.34,1.73,36.41,18.76,7.02,33.62,97.83,5.16,2.35
2022,3,25,6.38,5.92,2.24,0.67,378.52,115.88,117.07,14.38,0.37,1.88,37.04,18.64,6.41,32.88,97.99,5.49,2.05
2022,3,26,6.49,6.23,2.14,0.69,364.92,117.84,119.05,14.59,0.34,-999.0,37.06,16.83,5.55,29.5,98.18,8.13,3.11
2022,3,27,6.58,6.47,2.1,0.69,363.84,119.48,120.94,14.8,0.34,-999.0,39.39,16.36,4.58,22.44,98.15,6.6,0.35
2022,3,28,6.67,6.38,2.2,0.7,368.78,121.1,122.88,15.23,0.37,1.88,39.58,20.77,4.58,18.69,98.06,3.24,0.98
2022,3,29,6.81,6.57,2.12,0.71,368.58,122.45,123.41,15.36,0.38,1.92,41.01,20.52,5.37,22.06,97.86,4.53,1.09
2022,3,30,6.63,5.97,2.38,0.69,380.36,120.45,122.52,15.09,0.38,1.96,41.07,21.92,5.74,22.88,97.86,3.65,0.74
2022,3,31,6.39,5.39,2.47,0.66,391.71,116.69,119.32,14.48,0.35,1.77,41.46,19.89,6.35,26.5,97.93,3.53,0.5
2022,4,1,6.94,6.9,2.1,0.71,360.84,123.69,125.08,15.53,0.38,1.9,39.38,19.14,4.88,23.38,98.02,5.7,2.16
2022,4,2,6.94,7.68,1.8,0.71,345.81,124.33,125.75,15.47,0.37,-999.0,40.38,22.35,4.15,17.12,98.11,3.86,0.18
2022,4,3,7.3,8.15,1.64,0.74,345.88,130.59,131.62,16.62,0.43,2.2,41.63,18.87,3.78,16.94,98.02,4.97,1.23
2022,4,4,6.99,6.98,2.03,0.71,354.72,124.63,125.11,15.55,0.4,2.03,40.37,19.2,3.66,15.75,98.03,5.05,1.45
2022,4,5,7.09,7.26,1.89,0.71,360.89,128.09,128.88,16.14,0.4,2.05,41.03,21.37,4.21,18.06,98.3,4.72,0.68
2022,4,6,7.03,6.88,2.19,0.7,353.3,124.79,126.62,15.57,0.39,1.98,41.32,21.97,4.27,17.12,98.3,3.84,0.25
2022,4,7,7.19,7.66,1.81,0.72,359.72,129.57,129.96,16.29,0.42,2.16,41.89,22.77,4.58,17.06,98.22,4.24,0.56
2022,4,8,7.27,7.79,1.76,0.73,365.91,131.05,130.93,16.51,0.44,2.3,43.02,25.03,4.46,15.75,97.96,3.83,0.28
2022,4,9,6.93,6.45,2.18,0.69,395.16,125.91,129.51,15.89,0.43,2.21,43.37,24.96,4.76,16.12,97.8,4.77,0.21
2022,4,10,6.95,6.46,2.22,0.69,380.12,125.29,127.62,15.68,0.41,2.12,43.68,22.76,4.7,17.38,97.72,6.48,2.55
2022,4,11,7.14,6.63,2.2,0.7,381.15,129.12,130.6,16.27,0.41,2.13,43.82,25.07,4.64,15.31,97.68,4.23,1.16
2022,4,12,4.86,1.81,3.54,0.48,416.25,89.01,114.05,10.7,0.27,1.38,42.91,25.91,5.07,15.12,97.64,3.69,0.22
2022,4,13,6.83,5.04,3.09,0.66,404.52,123.8,126.49,15.37,0.38,1.96,41.67,24.38,5.0,17.06,97.61,5.09,0.07
2022,4,14,6.72,4.9,3.13,0.66,411.8,122.62,125.41,15.16,0.37,1.85,41.58,23.22,4.82,16.81,97.57,4.89,2.52
2022,4,15,6.73,5.5,2.59,0.66,416.88,125.91,127.68,15.77,0.38,1.91,41.37,22.49,4.64,17.94,97.55,6.34,2.73
2022,4,16,7.07,6.3,2.45,0.69,396.45,130.82,133.01,16.52,0.39,1.97,41.49,22.62,4.09,15.44,97.53,3.85,2.26
2022,4,17,6.92,5.53,2.72,0.66,400.08,127.23,130.1,15.97,0.39,2.01,42.37,21.73,4.46,16.75,97.62,3.5,0.62
2022,4,18,6.92,5.52,2.67,0.66,396.18,125.88,127.48,15.7,0.39,1.98,43.54,23.49,4.21,14.25,97.8,5.54,0.92
2022,4,19,6.68,4.65,3.2,0.64,412.99,123.38,129.16,15.39,0.39,2.02,43.69,25.3,5.31,16.56,97.98,6.41,2.67
2022,4,20,6.72,4.89,2.99,0.64,406.06,123.3,126.7,15.31,0.4,2.05,42.8,25.69,6.04,18.69,97.84,7.85,3.01
2022,4,21,3.43,1.18,2.62,0.33,444.65,66.89,113.37,8.09,0.2,1.03,36.79,25.87,7.93,28.19,98.02,6.17,0.37
2022,4,22,6.61,4.93,2.87,0.62,421.61,124.44,126.62,15.41,0.38,1.98,40.06,23.37,7.2,27.62,98.04,3.41,0.29
2022,4,23,7.0,5.5,2.78,0.66,390.2,127.38,129.92,15.85,0.41,2.07,40.98,24.24,4.64,16.62,98.05,4.45,0.62
2022,4,24,7.12,6.11,2.58,0.67,385.23,129.12,130.62,16.05,0.39,2.01,41.64,23.27,5.07,17.44,97.86,8.99,2.58
2022,4,25,6.62,4.88,2.86,0.62,412.71,121.14,125.99,14.96,0.37,1.85,42.61,25.05,5.37,16.94,97.74,5.52,0.96
2022,4,26,6.93,5.25,3.0,0.65,410.02,126.91,131.94,15.84,0.38,1.95,42.9,26.8,5.25,15.88,97.79,6.06,0.33
2022,4,27,7.09,6.12,2.56,0.66,400.44,130.12,132.87,16.16,0.38,-999.0,44.03,26.14,3.85,12.12,97.75,6.27,0.61
2022,4,28,7.01,5.38,2.87,0.66,416.66,129.45,132.3,16.16,0.42,2.17,45.79,26.47,4.03,11.75,97.73,4.28,1.1
2022,4,29,7.06,5.02,3.23,0.66,421.41,129.15,133.52,16.14,0.42,2.18,46.03,26.92,4.94,14.25,97.68,6.22,2.67
2022,4,30,7.19,5.65,2.87,0.66,407.94,131.81,135.56,16.59,0.44,2.23,45.74,26.22,4.09,11.38,97.42,3.52,1.34
2022,5,1,6.5,4.29,3.17,0.6,429.87,121.36,131.16,15.21,0.4,2.05,45.12,27.98,4.64,12.56,97.29,5.87,0.49
2022,5,2,7.04,5.48,2.87,0.65,425.34,131.09,133.55,16.34,0.41,2.15,44.4,27.17,6.65,18.44,97.34,5.92,0.55
2022,5,3,6.03,2.91,3.88,0.55,452.48,114.92,127.67,14.08,0.36,1.81,42.8,27.01,6.59,19.62,97.6,3.06,1.02
2022,5,4,5.47,2.45,3.57,0.5,455.04,102.79,120.12,12.44,0.32,1.61,42.58,27.22,7.32,21.5,97.81,3.41,1.05
2022,5,5,6.1,3.18,3.59,0.56,428.56,114.62,120.18,13.77,0.34,1.73,39.19,26.64,9.95,33.06,97.88,3.53,0.95
2022,5,6,5.76,2.95,3.46,0.53,436.59,106.59,115.09,12.61,0.31,1.6,41.23,26.51,8.97,28.56,97.81,4.56,1.0
2022,5,7,6.91,5.35,2.78,0.63,426.21,130.62,131.35,16.26,0.42,2.16,42.08,26.96,7.45,23.38,97.8,5.09,0.76
2022,5,8,6.76,4.76,3.08,0.62,424.93,126.41,129.77,15.6,0.41,2.12,43.05,26.35,6.65,19.69,97.59,4.07,0.06
2022,5,9,6.64,4.36,3.19,0.6,436.22,124.36,127.12,15.16,0.41,2.12,42.65,26.62,8.3,24.94,97.57,4.75,1.4
2022,5,10,6.2,3.52,3.45,0.56,447.28,116.86,121.34,13.84,0.38,1.98,42.25,28.11,11.05,31.75,97.58,5.73,0.48
2022,5,11,6.14,3.68,3.2,0.55,464.99,115.45,119.89,13.69,0.37,1.92,43.63,28.75,10.93,29.38,97.41,4.8,0.86
2022,5,12,6.58,4.4,3.14,0.59,466.77,124.52,126.33,15.09,0.41,2.18,44.81,29.83,10.25,26.88,97.26,4.66,0.62
2022,5,13,7.07,5.63,2.71,0.64,442.81,134.19,135.09,16.8,0.47,2.48,46.72,28.9,6.04,16.62,97.0,6.93,1.96
2022,5,14,7.54,6.71,2.51,0.68,416.29,139.88,140.84,17.65,0.48,2.55,46.9,29.1,4.7,12.81,97.06,6.4,0.71
2022,5,15,7.46,6.16,2.71,0.67,412.8,136.69,137.79,17.21,0.48,2.52,47.37,29.33,4.21,10.38,97.19,6.88,1.77
2022,5,16,5.76,2.78,3.64,0.52,445.87,106.74,129.61,13.2,0.37,1.88,44.23,30.92,5.49,13.44,97.23,7.73,1.06
2022,5,17,6.29,3.25,3.71,0.56,451.27,116.55,122.84,14.02,0.38,1.97,43.9,28.16,4.58,12.06,97.26,2.95,0.7
2022,5,18,6.13,3.31,3.55,0.55,461.0,115.48,123.75,13.86,0.37,1.91,43.77,28.13,5.8,15.44,97.43,5.23,0.08
2022,5,19,6.7,4.34,3.23,0.6,451.64,126.12,129.46,15.45,0.41,2.15,45.65,29.17,5.74,14.75,97.39,5.62,1.02
2022,5,20,6.41,2.95,4.02,0.58,454.93,118.68,126.98,14.25,0.39,2.02,46.45,30.95,6.16,14.44,97.11,8.51,0.72
2022,5,21,5.74,2.19,3.99,0.52,467.51,108.48,127.04,13.09,0.36,1.82,44.06,30.45,7.39,18.75,96.88,4.84,0.34
2022,5,22,6.59,4.8,2.89,0.59,446.93,125.2,131.62,15.49,0.41,2.09,42.9,27.29,6.65,18.94,96.83,4.41,0.41
2022,5,23,3.79,1.57,2.59,0.34,446.62,74.23,124.98,9.05,0.24,1.24,37.94,23.87,10.93,39.31,97.05,8.09,2.96
2022,5,24,6.35,3.69,3.43,0.57,422.19,118.78,122.78,14.25,0.36,1.87,34.59,23.88,14.04,56.12,97.74,7.26,0.55
2022,5,25,6.37,3.99,3.31,0.57,419.43,119.91,127.21,14.48,0.39,2.02,36.66,24.39,11.96,45.69,97.83,5.04,0.22
2022,5,26,6.45,3.77,3.49,0.57,439.65,121.95,128.25,14.73,0.4,2.07,38.9,25.23,11.72,40.88,97.59,3.68,0.29
