-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  28.7041   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS10M_MAX,WS10M_MIN
2023,1,1,3.04,3.42,1.39,0.52,310.81,52.33,61.77,6.15,0.11,0.52,20.62,6.35,4.33,48.38,99.3,3.07,0.51
2023,1,2,1.96,1.16,1.42,0.34,351.77,33.69,55.21,4.05,0.07,0.35,19.88,6.77,4.09,45.94,99.42,1.7,0.3
2023,1,3,1.75,0.93,1.3,0.3,336.11,28.03,43.67,3.02,0.05,0.23,18.98,4.78,3.6,47.88,99.48,3.97,1.21
2023,1,4,1.88,1.2,1.29,0.32,325.09,29.34,43.44,3.12,0.05,0.23,17.53,1.58,3.6,51.88,99.5,3.39,1.78
2023,1,5,1.86,1.41,1.18,0.32,326.86,30.65,52.29,3.59,0.05,0.29,17.98,1.93,3.72,52.31,99.63,3.03,0.8
2023,1,6,2.27,1.3,1.64,0.39,323.48,36.73,52.41,4.2,0.07,0.37,17.75,2.38,3.36,47.56,99.66,2.48,0.5
2023,1,7,2.96,3.07,1.4,0.5,302.71,50.71,62.94,6.03,0.11,0.54,20.48,2.8,3.05,40.88,99.45,3.99,1.55
2023,1,8,2.64,2.46,1.42,0.45,319.44,45.95,63.84,5.59,0.1,0.48,22.84,3.72,3.3,38.19,99.17,4.12,1.7
2023,1,9,2.15,0.96,1.67,0.36,341.13,37.73,61.23,4.65,0.09,0.43,21.12,6.21,3.97,42.38,99.27,2.77,1.23
2023,1,10,2.51,2.16,1.44,0.42,332.62,42.76,58.17,5.02,0.09,0.47,22.04,6.44,4.52,50.62,99.16,3.91,2.23
2023,1,11,2.51,1.76,1.65,0.42,342.12,44.43,63.59,5.45,0.11,0.55,24.22,7.55,5.8,59.88,98.7,3.76,0.76
2023,1,12,3.22,3.04,1.63,0.53,346.59,58.21,65.76,7.0,0.13,0.68,21.25,9.3,7.39,73.56,98.49,4.31,2.24
2023,1,13,2.24,1.23,1.62,0.37,360.37,40.36,56.77,4.81,0.1,0.51,22.04,9.86,8.12,74.06,98.57,4.34,0.89
2023,1,14,2.67,1.98,1.63,0.44,309.12,44.34,53.8,4.97,0.1,0.51,19.51,3.28,3.54,44.69,98.95,4.8,2.9
2023,1,15,4.41,6.47,1.22,0.73,246.01,73.15,73.53,8.65,0.18,0.88,17.63,-0.28,2.14,35.19,98.85,4.8,2.67
2023,1,16,4.17,5.65,1.36,0.68,258.98,70.3,71.52,8.25,0.16,0.79,18.88,1.05,2.5,37.56,98.94,4.01,2.44
2023,1,17,4.16,5.86,1.28,0.67,253.92,69.62,69.67,8.05,0.15,0.73,19.43,0.8,2.44,37.06,98.98,4.42,2.46
2023,1,18,4.1,5.89,1.19,0.66,277.13,71.91,71.87,8.38,0.14,0.7,18.11,3.3,2.32,32.19,99.18,2.67,1.43
2023,1,19,3.68,3.7,1.74,0.59,316.84,64.14,67.21,7.5,0.12,0.62,19.38,4.64,3.54,42.56,99.14,2.41,1.08
2023,1,20,3.13,2.77,1.66,0.5,313.79,52.19,55.2,5.72,0.09,0.44,21.89,4.39,5.0,60.0,98.99,4.04,1.45
2023,1,21,2.89,2.21,1.72,0.46,311.74,46.62,49.15,4.9,0.08,0.38,22.65,6.15,5.37,59.25,98.93,3.04,0.24
2023,1,22,2.69,1.67,1.77,0.42,328.05,43.82,47.45,4.57,0.07,0.37,23.05,6.9,5.55,58.0,98.85,3.01,1.12
2023,1,23,2.9,2.11,1.72,0.45,332.34,47.02,48.2,4.92,0.09,0.41,24.13,7.44,5.86,54.81,98.76,3.78,0.72
2023,1,24,1.48,0.62,1.18,0.23,380.09,24.81,39.8,2.41,0.05,0.22,22.02,11.55,8.91,78.75,98.61,6.06,1.18
2023,1,25,1.04,0.45,0.83,0.16,362.06,17.41,39.91,1.69,0.03,0.16,22.23,9.33,7.32,72.0,98.81,4.33,0.49
2023,1,26,1.64,0.73,1.27,0.25,348.81,26.0,39.37,2.42,0.05,0.23,22.35,6.18,4.7,53.06,99.09,4.12,2.05
2023,1,27,3.94,4.53,1.5,0.6,270.73,64.67,66.45,7.41,0.15,-999.0,21.52,3.59,3.42,45.06,99.1,5.17,2.88
2023,1,28,4.74,7.14,1.09,0.72,270.04,80.98,80.83,9.62,0.2,1.01,24.08,3.23,3.23,37.94,98.79,4.05,1.45
2023,1,29,0.94,0.41,0.74,0.14,358.77,18.61,59.33,2.41,0.05,0.26,21.43,5.94,4.94,50.62,98.68,3.98,0.87
2023,1,30,2.05,0.74,1.65,0.3,353.91,38.34,58.92,4.73,0.11,0.57,17.81,9.85,7.08,75.94,99.08,4.8,0.27
2023,1,31,3.49,2.92,1.85,0.52,334.41,61.12,68.47,7.23,0.14,0.7,22.83,7.91,7.39,75.31,99.16,6.66,2.25
2023,2,1,4.79,6.99,1.15,0.71,289.3,84.13,84.73,10.08,0.2,-999.0,22.54,5.78,5.13,58.94,99.04,6.42,2.82
2023,2,2,4.9,7.33,1.11,0.72,281.14,86.89,87.21,10.54,0.23,-999.0,25.26,5.88,4.82,50.38,98.92,6.2,3.09
2023,2,3,4.67,6.26,1.41,0.68,290.47,83.38,84.46,10.03,0.21,-999.0,25.93,7.22,4.64,45.69,98.93,4.98,2.41
2023,2,4,4.8,6.68,1.24,0.7,298.51,85.8,85.54,10.31,0.21,1.03,27.04,8.77,5.19,47.19,98.66,6.78,2.89
2023,2,5,4.75,6.47,1.28,0.68,306.73,85.67,85.45,10.29,0.22,1.07,26.23,8.86,6.04,52.44,98.54,4.8,1.98
2023,2,6,4.71,6.23,1.35,0.67,321.2,84.65,85.13,10.14,0.23,1.15,29.26,10.09,5.86,44.88,98.47,3.6,1.6
2023,2,7,4.49,5.2,1.64,0.64,318.39,79.99,80.1,9.43,0.22,1.09,26.24,10.36,5.55,48.31,98.48,6.18,2.82
2023,2,8,5.03,6.55,1.38,0.71,295.2,89.65,90.84,10.96,0.27,1.34,25.8,7.39,4.15,39.56,98.7,5.89,1.25
2023,2,9,4.87,5.86,1.62,0.68,312.8,87.79,88.44,10.64,0.24,1.23,28.62,11.32,4.52,35.38,98.54,3.8,0.92
2023,2,10,4.84,5.78,1.57,0.67,320.22,87.88,88.52,10.68,0.23,1.12,30.33,10.69,6.59,50.69,98.38,3.44,1.84
2023,2,11,4.25,3.5,2.18,0.59,329.71,75.7,79.59,9.04,0.2,1.04,27.41,11.24,5.8,47.38,98.63,4.34,2.57
2023,2,12,5.19,6.7,1.47,0.71,277.61,90.37,90.45,10.91,0.23,-999.0,24.02,7.05,3.42,37.19,99.03,6.75,2.92
2023,2,13,5.58,8.66,0.91,0.76,273.44,98.58,98.07,12.12,0.27,1.31,24.69,5.76,2.5,27.38,98.91,9.69,3.96
2023,2,14,5.16,6.53,1.48,0.7,302.36,91.93,91.84,11.12,0.23,1.12,27.49,8.55,3.36,28.81,98.85,6.59,2.88
2023,2,15,5.21,6.8,1.37,0.7,317.23,94.19,93.95,11.47,0.24,1.21,30.04,10.94,4.76,37.0,98.6,7.79,3.09
2023,2,16,4.63,3.96,2.25,0.62,336.3,83.18,89.31,10.16,0.22,1.13,29.19,10.8,6.16,44.56,98.76,4.72,0.84
2023,2,17,4.18,2.28,2.84,0.55,344.66,74.87,85.51,9.05,0.21,1.09,29.97,14.13,6.77,44.19,98.87,3.19,0.41
2023,2,18,4.82,4.8,1.99,0.63,338.32,85.16,88.0,10.2,0.24,1.23,30.85,13.99,5.25,34.31,98.79,3.43,0.79
